ID;Semestre;Sede;Programa;En su rol como estudiante ¿Que tan identificado se siente con la mision y la vision de la Institucion?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Proyecto Educativo del Programa?;¿ El Proyecto Educativo del Programa garantiza el funcionamiento de su programa?; ¿El numero de docentes es suficientes para satisfacer las necesidades academicas de su programa?;¿La relacion entre la cantidad de estudiantes de su programa y los recursos académicos (libros, material de apoyo, bases de datos, guías de talleres, asesorías)  disponibles es la adecuada?;¿La relación entre la cantidad de estudiantes de su programa y los recursos físicos( laboratorios, salas de cómputo, bibliotecas, aulas de clase, equipos audiovisuales) disponibles es la adecuada?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Reglamento Estudiantil?;¿Cuál es el medio a través del cual consulta el Reglamento Estudiantil?;¿Conoce los comités directivos del programa en los que puede participar como estudiante?;¿La participación de los estudiantes en los comités del programa ha contribuido con la toma decisiones?;¿Los docentes del programa cumplen con las expectativas en cuanto a experiencia para desarrallar las actividades académicas?;¿ Considera que la aplicación de las políticas en cuanto a la permanencia de sus docentes,  es?:;En el desarrollo de sus cursos, ¿ Usted utiliza materiales de apoyo o guías producidas por sus profesores? Si su respuesta es afirmativa, continúe con la siguiente pregunta;La calidad de los materiales de apoyo producidos por los profesores para el desarrollo de las actividades académicas, es:;De acuerdo con la metodología del programa, la pertinencia (adecuado) de los materiales de apoyo producidos por sus profesores para llevar a cabo las actividades académicas, es:;¿Conoce la reglamentación que regula la flexibilidad (entendida como movilidad, créditos optativos, créditos homologables, cursos electivos, alternativas de opción de grado) de su  plan de estudios?;¿ La reglamentación que regula la flexibilidad de su plan de estudios es eficaz y se aplica adecuadamente?;¿Considera que las estrategias llevadas a cabo para fomentar la interdisciplinariedad (relación de sus actividades académicas con otras disciplinas o áreas de conocimiento), han contribuido al mej...;¿ Existe correspondencia entre los métodos de enseñanza y aprendizaje que se emplean en su programa con los contenidos del Plan de Estudio?;¿Conoce las condiciones y exigencias académicas de permanencia y graduación ( entendidas como las estrategias que permitan al estudiante la culminación de sus estudios) de su programa?;¿Las estrategias que implementa el programa para que sus estudiantes finalicen su plan de estudios son adecuadas?;¿La reglamentación que regula la evaluación de su desempeño académico se divulga y se aplica adecuadamente?;¿ La evaluación que se realiza de su desempeño académico es coherente con los métodos pedagógicos (entendidos como estrategias de enseñanza)  empleados por los profesores?;¿El sistema de evaluación académica utilizado para valorar su desempeño académico le permite adquirir competencias, actitudes, conocimientos, capacidades y habilidades propias del programa?;¿Los procesos de evaluación y autoevaluación del programa han contribuido al mejoramiento de la calidad del mismo?;¿Conoce los programas que brinda Bienestar Institucional a la comunidad académica?;¿Las estrategias de divulgación de los programas que brinda Bienestar Institucional a la comunidad académica son efectivas?;¿Los servicios y actividades que brinda Bienestar Institucional han contribuido a su desarrollo personal?;¿Las orientaciones dadas en cuanto a los procesos administrativos que desarrolla su programa permiten cumplir a cabalidad con las funciones de docencia, investigación y proyección social?;¿La página web de la Institución es un buen medio para mantenerse informado?;¿Con que frecuencia consulta la página web de la Institución para mantenerse informado sobre temas de interés?;¿Cómo califica la efectividad de los sistemas de información académica (correos electrónicos, plataformas virtuales, bibliotecas digitales, etc.) de su Programa:;¿Cómo califica la efectividad de los procesos comunicativos ( medios utilizados para informar al estudiante) al interior de su Programa:;¿Cómo califica la calidad del acceso a los sistemas de comunicación e información del programa?;¿Cómo califica la orientación académica que ofrecen los directivos a su programa?;¿Cómo califica el liderazgo que demuestran los directivos de su programa?
1;10;Norte - Santander de Q;Ingenieria Industrial;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En cierta parte;En gran parte;SI;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
2;8;Norte - Santander de Q;Ingenieria Industrial;Totalmente;NO;Sin respuesta;En gran parte;En gran parte;Nada;SI;Pagina web institucional;SI;En gran parte;En gran parte;Excelente;SI;Excelente;Buena;SI;Totalmente;Totalmente;Totalmente;SI;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;En gran parte;Totalmente;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
3;8;Popayan;Administracion de Empresas ;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;SI;Difusion por parte de la Direccion del Programa;SI;Totalmente;En gran parte;Buena;SI;Buena;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;Totalmente;En gran parte;Casi siempre;Excelente;Excelente;Excelente;Excelente;Excelente
4;8;Norte - Santander de Q;Ingenieria Industrial;En gran parte;SI;En gran parte;Nada;En cierta parte;Nada;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Mala;SI;Buena;Buena;NO;Sin respuesta;Nada;Nada;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Nada;Nada;Nada;En cierta parte;Nada;Algunas veces ;Regular;Regular;Regular;Buena;Buena
5;6;Popayan;Administracion de Empresas ;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;SI;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Regular;Buena;Buena;Buena
6;1;Popayan;Psicologia;Nada;NO;Sin respuesta;Nada;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;Nada;Mala;NO;Sin respuesta;Mala;NO;Sin respuesta;Nada;Nada;NO;Sin respuesta;Nada;Nada;Nada;Nada;Nada;Nada;Nada;Nada;Nada;Nunca;Mala;Mala;Mala;Mala;Mala
7;5;Popayan;Administracion de Empresas ;En gran parte;NO;Sin respuesta;En cierta parte;Totalmente;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;Totalmente;Totalmente;En cierta parte;En gran parte;Nada;Totalmente;Totalmente;Casi siempre;Excelente;Excelente;Buena;Excelente;Excelente
8;10;Norte - Santander de Q;Ingenieria Industrial;En gran parte;SI;En gran parte;Nada;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;SI;En cierta parte;En gran parte;En cierta parte;SI;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Totalmente;Siempre;Regular;Regular;Regular;Buena;Buena
9;1;Popayan;Psicologia;En gran parte;SI;En gran parte;Totalmente;En gran parte;En gran parte;SI;Pagina web institucional;SI;En gran parte;Totalmente;Excelente;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
10;1;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;En gran parte;En gran parte;Nada;Nada;En cierta parte;En cierta parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
